path,label,photo_id
data/squares/empty/018_g1.png,empty,018
data/squares/empty/038_e2.png,empty,038
data/squares/empty/020_f3.png,empty,020
data/synth_squares/img/sq_03390_r.png,r,synth_052
data/squares/empty/074_g4.png,empty,074
data/synth_squares/img/sq_00698_Q.png,Q,synth_010
data/squares/empty/054_b6.png,empty,054
data/squares/empty/015_e4.png,empty,015
data/synth_squares/img/sq_03193_k.png,k,synth_049
data/synth_squares/img/sq_03611_k.png,k,synth_056
data/squares/empty/047_c1.png,empty,047
data/squares/empty/074_e1.png,empty,074
data/squares/empty/053_b5.png,empty,053
data/squares/empty/001_g4.png,empty,001
data/squares/empty/008_a3.png,empty,008
data/synth_squares/img/sq_00591_P.png,P,synth_009
data/squares/empty/058_d5.png,empty,058
data/synth_squares/img/sq_01211_K.png,K,synth_018
data/squares/empty/011_f8.png,empty,011
data/synth_squares/img/sq_03328_p.png,p,synth_052
data/synth_squares/img/sq_02830_P.png,P,synth_044
data/synth_squares/img/sq_00527_n.png,n,synth_008
data/synth_squares/img/sq_03366_B.png,B,synth_052
data/synth_squares/img/sq_00761_N.png,N,synth_011
data/synth_squares/img/sq_03481_r.png,r,synth_054
data/squares/empty/001_d3.png,empty,001
data/synth_squares/img/sq_01506_N.png,N,synth_023
data/squares/K/028_g3.png,K,028
data/synth_squares/img/sq_00982_N.png,N,synth_015
data/squares/empty/067_f3.png,empty,067
data/squares/empty/057_c8.png,empty,057
data/synth_squares/img/sq_00226_R.png,R,synth_003
data/synth_squares/img/sq_03158_B.png,B,synth_049
data/synth_squares/img/sq_03161_b.png,b,synth_049
data/synth_squares/img/sq_01823_N.png,N,synth_028
data/synth_squares/img/sq_03547_N.png,N,synth_055
data/squares/empty/057_b2.png,empty,057
data/synth_squares/img/sq_00154_n.png,n,synth_002
data/synth_squares/img/sq_02714_Q.png,Q,synth_042
data/synth_squares/img/sq_00372_B.png,B,synth_005
data/squares/empty/010_f5.png,empty,010
data/synth_squares/img/sq_03411_k.png,k,synth_053
data/squares/empty/056_e5.png,empty,056
data/synth_squares/img/sq_00275_r.png,r,synth_004
data/squares/empty/010_d2.png,empty,010
data/synth_squares/img/sq_00168_empty.png,empty,synth_002
data/squares/r/009_d5.png,r,009
data/squares/empty/015_b1.png,empty,015
data/synth_squares/img/sq_01540_b.png,b,synth_024
data/squares/B/000_b7.png,B,000
data/synth_squares/img/sq_02572_p.png,p,synth_040
data/synth_squares/img/sq_00413_k.png,k,synth_006
data/synth_squares/img/sq_03362_B.png,B,synth_052
data/squares/empty/006_b3.png,empty,006
data/synth_squares/img/sq_03633_empty.png,empty,synth_056
data/synth_squares/img/sq_02108_q.png,q,synth_032
data/squares/empty/040_d7.png,empty,040
data/squares/empty/059_c8.png,empty,059
data/synth_squares/img/sq_02423_q.png,q,synth_037
data/squares/empty/023_d5.png,empty,023
data/synth_squares/img/sq_00505_r.png,r,synth_007
data/synth_squares/img/sq_03294_R.png,R,synth_051
data/synth_squares/img/sq_00429_b.png,b,synth_006
data/squares/empty/010_g2.png,empty,010
data/squares/k/047_f5.png,k,047
data/squares/empty/061_e6.png,empty,061
data/synth_squares/img/sq_03670_p.png,p,synth_057
data/squares/empty/021_c6.png,empty,021
data/synth_squares/img/sq_00455_q.png,q,synth_007
data/synth_squares/img/sq_03330_empty.png,empty,synth_052
data/synth_squares/img/sq_02389_p.png,p,synth_037
data/squares/empty/056_d1.png,empty,056
data/synth_squares/img/sq_00016_empty.png,empty,synth_000
data/squares/empty/055_b4.png,empty,055
data/synth_squares/img/sq_03776_P.png,P,synth_059
data/squares/N/036_c5.png,N,036
data/squares/empty/019_g6.png,empty,019
data/squares/empty/053_f3.png,empty,053
data/squares/k/044_f4.png,k,044
data/synth_squares/img/sq_00812_k.png,k,synth_012
data/squares/empty/073_e5.png,empty,073
data/synth_squares/img/sq_03336_q.png,q,synth_052
data/synth_squares/img/sq_01484_Q.png,Q,synth_023
data/squares/empty/016_c4.png,empty,016
data/squares/empty/064_g3.png,empty,064
data/squares/empty/055_a4.png,empty,055
data/squares/empty/027_g2.png,empty,027
data/synth_squares/img/sq_01917_empty.png,empty,synth_029
data/synth_squares/img/sq_02148_r.png,r,synth_033
data/synth_squares/img/sq_00856_N.png,N,synth_013
data/squares/N/059_a2.png,N,059
data/synth_squares/img/sq_00290_Q.png,Q,synth_004
data/squares/empty/000_a6.png,empty,000
data/synth_squares/img/sq_01271_k.png,k,synth_019
data/squares/empty/004_a3.png,empty,004
data/squares/empty/066_f2.png,empty,066
data/synth_squares/img/sq_02319_empty.png,empty,synth_036
data/squares/empty/043_f7.png,empty,043
data/squares/empty/073_g8.png,empty,073
data/squares/empty/021_b3.png,empty,021
data/squares/empty/024_e3.png,empty,024
data/squares/p/052_d4.png,p,052
data/synth_squares/img/sq_01045_B.png,B,synth_016
data/synth_squares/img/sq_03275_N.png,N,synth_051
data/synth_squares/img/sq_03031_r.png,r,synth_047
data/squares/empty/011_d2.png,empty,011
data/synth_squares/img/sq_03136_Q.png,Q,synth_049
data/synth_squares/img/sq_02433_empty.png,empty,synth_038
